"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Material_003.Material_003","0","0","23","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Grey.Grey","0","0","23","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_009.Material_009","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_008.Material_008","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_007.Material_007","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_004.Material_004","0","0","14","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","35","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Material_016.Material_016","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Material_004.Material_004","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_010.Material_010","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_005.Material_005","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Material_002.Material_002","0","0","14","1","0.000000","0","0"
"/Game/Models/OutsourcedModels/Helice.Helice","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Material_002.Material_002","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Gold.Gold","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_002.Material_002","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_001.Material_001","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_012.Material_012","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/2ndMatFolder/Material_011.Material_011","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Darkred.Darkred","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Darkgold.Darkgold","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/Brown.Brown","0","0","14","1","0.000000","0","0"
"/Game/Models/MechanicModels/Materials/silver.silver","0","0","26","1","0.000000","0","0"
"/Game/Blueprints/Cells/M_CellGlow.M_CellGlow","0","0","23","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
